ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA
975011,48,48,5587,USO GENERICO,SJJJ,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,521,AGUAS FRESCAS,112,BEBIDAS,,
975015,48,48,5587,USO GENERICO,SJHL,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,521,AGUAS FRESCAS,112,BEBIDAS,,
975004,48,48,5587,USO GENERICO,SJJL,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,521,AGUAS FRESCAS,112,BEBIDAS,,
974997,48,48,5587,USO GENERICO,CHJM,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,547,HOT DOGS,123,ALIMENTOS PREPARADOS,,
975017,48,48,5587,USO GENERICO,SJLL,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,521,AGUAS FRESCAS,112,BEBIDAS,,
871737,48,48,199,K-SWISS,5NEG,5085,NEGRO/ORO,98,7,JOYERIA Y ACCESORIOS,3,CABALLERO,25,BACKPACK,48,MOCHILA/MORRAL/MALETA,836,BACK PACK (836)
871735,0.5,3.5,199,K-SWISS,MBLA,2186,BLANCO/NEGRO,XB,2,ROPA,3,CABALLERO,216,PLAYERA,64,ROPA CASUAL,,
871738,48,48,199,K-SWISS,EOLI,23223,OLIVO/ORO,98,7,JOYERIA Y ACCESORIOS,3,CABALLERO,25,BACKPACK,48,MOCHILA/MORRAL/MALETA,836,BACK PACK (836)
871736,0.5,3.5,199,K-SWISS,MNEG,5085,NEGRO/ORO,XB,2,ROPA,3,CABALLERO,216,PLAYERA,64,ROPA CASUAL,,
872016,21,28,4559,LADY ONE,6102,3682,INOX,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,276,SAND PLAT MEDIO PULSERA (276)
872011,21,28,4559,LADY ONE,4379,2876,NEGRO/ROSA,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,198,SAND KIT PISO PULSERA (198)
872015,21,28,4559,LADY ONE,6108,801,ORO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,201,SAND PLAT MEDIO CRUZADO (201)
872013,21,28,4559,LADY ONE,6109,8825,ORO ROSADO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,1992,SAND PLAT MEDIO ROMANO (1992)
872014,21,28,4559,LADY ONE,6111,839,ROSA,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,276,SAND PLAT MEDIO PULSERA (276)
873624,24,32,1714,EESCORD,6,2179,BLANCO,U3,1,CALZADO,3,CABALLERO,244,SANDALIA,54,PLAYA/BAÑO,1757,VESTIR CAS BN AGUJETA EXO (1757)
908824,24,32,3816,PRO MARCAS,2422,5935,MARINO/ROJO/BLANCO,U3,1,CALZADO,3,CABALLERO,27,BASKETBALL,79,TENIS DEPORTIVO,,
908830,21,28,3816,PRO MARCAS,1020,5085,NEGRO/ORO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
908828,24,32,3816,PRO MARCAS,1125,5022,BLANCO/MARINO/ROJO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,,
908827,21,28,3816,PRO MARCAS,6111,5017,BLANCO/ROSA,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
908831,24,32,3816,PRO MARCAS,0125,2179,BLANCO,U3,1,CALZADO,3,CABALLERO,244,SANDALIA,54,PLAYA/BAÑO,,
908829,24,32,3816,PRO MARCAS,5125,2179,BLANCO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,,
908832,21,28,3816,PRO MARCAS,0012,2179,BLANCO,U5,1,CALZADO,5,DAMA,244,SANDALIA,54,PLAYA/BAÑO,,
908825,21,28,3816,PRO MARCAS,7013,5027,NEGRO/BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
908826,21,28,3816,PRO MARCAS,7125,2179,BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
892812,8,25,630,NIKE,2101,5832,BLANCO/AZUL REY,YE,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,,
892814,8,25,630,NIKE,0403,4320,AZUL REY/ROJO,YE,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,,
892802,20,27,630,NIKE,8103,2209,BLANCO/ROJO,YC,1,CALZADO,7,JUNIORS,66,CHOCLO,78,TENIS CASUAL URBANO,,
892811,8,25,630,NIKE,3103,2209,BLANCO/ROJO,YE,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,,
892815,8,25,630,NIKE,8014,2476,GRIS/AZUL REY,YE,1,CALZADO,9,NIÑO,85,CORRER,79,TENIS DEPORTIVO,,
892819,20,28,630,NIKE,4102,5017,BLANCO/ROSA,YF,1,CALZADO,10,TEENS,66,CHOCLO,78,TENIS CASUAL URBANO,,
892822,20,28,630,NIKE,1500,6156,LILA/BLANCO,YF,1,CALZADO,10,TEENS,66,CHOCLO,78,TENIS CASUAL URBANO,,
892823,24,32,630,NIKE,5002,5027,NEGRO/BLANCO,U3,1,CALZADO,3,CABALLERO,27,BASKETBALL,79,TENIS DEPORTIVO,,
892824,21,28,630,NIKE,8103,5027,NEGRO/BLANCO,U5,1,CALZADO,5,DAMA,51,CAMINAR,79,TENIS DEPORTIVO,,
892825,21,28,630,NIKE,7200,366,BEIGE,U5,1,CALZADO,5,DAMA,51,CAMINAR,79,TENIS DEPORTIVO,,
892813,8,25,630,NIKE,3101,5832,BLANCO/AZUL REY,YE,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,,
892817,8,25,630,NIKE,6001,5149,GRIS/NEGRO,YE,1,CALZADO,9,NIÑO,27,BASKETBALL,79,TENIS DEPORTIVO,,
892818,8,25,630,NIKE,6007,5149,GRIS/NEGRO,YE,1,CALZADO,9,NIÑO,27,BASKETBALL,79,TENIS DEPORTIVO,,
892820,20,28,630,NIKE,6019,1525,GRIS/LILA,YF,1,CALZADO,10,TEENS,66,CHOCLO,78,TENIS CASUAL URBANO,,
892808,8,25,630,NIKE,1501,6156,LILA/BLANCO,YD,1,CALZADO,8,NIÑA,85,CORRER,79,TENIS DEPORTIVO,,
892821,20,28,630,NIKE,6500,1525,GRIS/LILA,YF,1,CALZADO,10,TEENS,66,CHOCLO,78,TENIS CASUAL URBANO,,
892763,24,32,630,NIKE,9606,2875,ROJO/NEGRO,U3,1,CALZADO,3,CABALLERO,121,FUTBOL,79,TENIS DEPORTIVO,,
892816,8,25,630,NIKE,7014,2476,GRIS/AZUL REY,YE,1,CALZADO,9,NIÑO,85,CORRER,79,TENIS DEPORTIVO,,
892752,24,32,630,NIKE,8401,3001,MARINO/AMARILLO,U3,1,CALZADO,3,CABALLERO,263,SKATE,79,TENIS DEPORTIVO,,
892758,24,32,630,NIKE,0001,501,GRIS,U3,1,CALZADO,3,CABALLERO,51,CAMINAR,79,TENIS DEPORTIVO,,
892773,24,32,630,NIKE,3600,5120,ROJO/BLANCO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,,
892785,21,28,630,NIKE,2003,5027,NEGRO/BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
892788,21,28,630,NIKE,4001,5027,NEGRO/BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
892790,21,28,630,NIKE,6200,366,BEIGE,U5,1,CALZADO,5,DAMA,85,CORRER,79,TENIS DEPORTIVO,,
892801,20,27,630,NIKE,3606,2875,ROJO/NEGRO,YC,1,CALZADO,7,JUNIORS,121,FUTBOL,79,TENIS DEPORTIVO,,
892804,20,27,630,NIKE,7004,5063,BLANCO/GRIS,YC,1,CALZADO,7,JUNIORS,27,BASKETBALL,79,TENIS DEPORTIVO,,
892809,8,25,630,NIKE,3501,6156,LILA/BLANCO,YD,1,CALZADO,8,NIÑA,85,CORRER,79,TENIS DEPORTIVO,,
892810,8,25,630,NIKE,1103,2209,BLANCO/ROJO,YE,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,,
895485,21,28,1003,TOMMY HILFIGER,8BDS,4970,NEGRO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
895492,1,7,630,NIKE,9492,2534,MARINO,XW,2,ROPA,9,NIÑO,77,CONJUNTO/TRAJE,68,ROPA DEPORTIVA,,
873301,24,44,5370,TWENTY5,VERY,5027,NEGRO/BLANCO,Y7,2,ROPA,5,DAMA,115,FALDA,64,ROPA CASUAL,326,CONTEMPORANEO (326)
873299,24,44,5370,TWENTY5,ANDY,4970,NEGRO,Y7,2,ROPA,5,DAMA,115,FALDA,67,ROPA DE VESTIR (FORMAL),326,CONTEMPORANEO (326)
873302,24,44,7752,EXPRESS BY ONLY,0109,494,DURAZNO,Y7,2,ROPA,5,DAMA,37,BLUSA,67,ROPA DE VESTIR (FORMAL),326,CONTEMPORANEO (326)
875254,8,25,4725,AGLORY LIMITED,PONY,5039,IVORY,YD,1,CALZADO,8,NIÑA,199,PANTUFLA,17,CONFORT,95,SUECO REDONDA (95)
875253,8,25,4725,AGLORY LIMITED,LION,366,BEIGE,YE,1,CALZADO,9,NIÑO,199,PANTUFLA,17,CONFORT,,
875252,8,25,4725,AGLORY LIMITED,DINO,2562,VERDE,YE,1,CALZADO,9,NIÑO,199,PANTUFLA,17,CONFORT,,
830470,24,32,4887,TENIS STARS,8468,796,OLIVO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880805,24,32,3965,SKECHERS1,01BB,4970,NEGRO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,,
880808,21,28,3965,SKECHERS1,6BBK,4970,NEGRO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880806,21,28,3965,SKECHERS1,7MVE,3303,MAUVE,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880810,21,28,1273,REEBOK DE MEXICO,3815,11420,BLANCO/LIGA,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880812,24,32,1273,REEBOK DE MEXICO,7653,3015,BLANCO/MARINO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880807,21,28,3965,SKECHERS1,GYPK,517,GRIS/ROSA,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880809,21,28,3965,SKECHERS1,6TPE,1473,TAUPE,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880813,24,32,3602,DC SHOES,7410,2534,MARINO,U3,1,CALZADO,3,CABALLERO,263,SKATE,79,TENIS DEPORTIVO,,
880811,8,25,1273,REEBOK DE MEXICO,6844,3015,BLANCO/MARINO,YE,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880815,24,32,293,PUMA,5308,2534,MARINO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880814,24,32,293,PUMA,5310,6404,OLIVO/BLANCO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880816,24,32,293,PUMA,5309,5604,GRIS/BLANCO,U3,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
880817,21,28,293,PUMA,5347,23310,NUD/BLANCO,U5,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,1800,URBANO (1800)
895483,24,32,1003,TOMMY HILFIGER,5431,19,AZUL,U3,1,CALZADO,3,CABALLERO,244,SANDALIA,54,PLAYA/BAÑO,,
920970,48,48,5044,CARMEN,C190,1987,MULTICOLOR,98,5,CUIDADO PERSONAL,14,BELLEZA,149,LABIOS,19,COSMETICO,,
920988,48,48,5044,CARMEN,C176,1987,MULTICOLOR,98,8,GENERALES,23,PRICE PROMOCIONES,61,CARTERA/MONEDERO,1,ACCESORIO,,
975008,48,48,5587,USO GENERICO,SJJH,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,521,AGUAS FRESCAS,112,BEBIDAS,,
975016,48,48,5587,USO GENERICO,SJHH,5368,UNICO,98,8,GENERALES,33,CAFETERIA/COMEDOR,521,AGUAS FRESCAS,112,BEBIDAS,,
