ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA,Total
872007,21.0,28.0,208,LADY PAULINA,9020,839,ROSA,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,80.0,SAND TACON MEDIO ANCHO TALON C (80),228.0
872010,21.0,28.0,208,LADY PAULINA,9508,7244,MAQUILLAJE,U5,1,CALZADO,5,DAMA,244,SANDALIA,83,VESTIR,13.0,SAND MEDIA PLAT ANCHO PULSERA (13),45.0
872005,21.0,28.0,208,LADY PAULINA,6233,839,ROSA,U5,1,CALZADO,5,DAMA,244,SANDALIA,83,VESTIR,70.0,SAND TACON MEDIO ANCHO BOTIN (70),95.0
872008,21.0,28.0,208,LADY PAULINA,2005,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,232.0,SAND PLAT ALTO PULSERA (232),228.0
872260,21.0,28.0,1430,BATTAGLIA MIA,8216,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,2001.0,SAND SUELA CORR MEDIO PULSERA (2001),748.0
872262,21.0,28.0,1430,BATTAGLIA MIA,4801,1997,AZUL MARINO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,247.0,SAND PISO PULSERA (247),185.0
872261,21.0,28.0,1430,BATTAGLIA MIA,5203,10085,ORO ROSA,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,232.0,SAND PLAT ALTO PULSERA (232),169.0
872259,21.0,28.0,1430,BATTAGLIA MIA,5306,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,276.0,SAND PLAT MEDIO PULSERA (276),101.0
872992,21.0,28.0,4480,KANDY LIVE,2703,3682,INOX,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,1074.0,SAND TACON BAJO ANCHO BOTIN (1074),118.0
872991,21.0,28.0,4480,KANDY LIVE,9000,876,TAN,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,1995.0,SAND SUELA URBANA PULSERA (1995),48.0
872244,21.0,28.0,5511,BIBIK SCARPE,4056,785,OCRE,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,229.0,SAND PLAT ALTO TALON C/PULS (229),302.0
872254,21.0,28.0,3064,KAKTUS,1106,10117,NEGRO/TAN,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,248.0,SAND KIT PISO CRUZADO (248),62.0
872601,21.0,28.0,298,RAZZO,1570,1368,CAMEL,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,290.0,SAND PLAT MEDIO TALON C/PULS (290),145.0
872600,21.0,28.0,298,RAZZO,1563,10085,ORO ROSA,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,232.0,SAND PLAT ALTO PULSERA (232),139.0
872599,21.0,28.0,298,RAZZO,1555,801,ORO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,296.0,SAND PLAT MEDIO SUECO (296),320.0
872604,21.0,28.0,7910,LA MALA VIDA,4431,2534,MARINO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,240.0,SAND PLAT ALTO DESTALON (240),90.0
872605,21.0,28.0,7910,LA MALA VIDA,7754,7244,MAQUILLAJE,U5,1,CALZADO,5,DAMA,244,SANDALIA,83,VESTIR,35.0,SAND MEDIA PLAT MEDIO ROMANO (35),333.0
872602,21.0,28.0,7901,CALZADO LONG BEACH,1800,23273,TAN/AMARILLO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,218.0,SAND KIT PISO VARIOS (218),226.0
872603,21.0,28.0,7901,CALZADO LONG BEACH,1810,2652,ROSA/MARINO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,218.0,SAND KIT PISO VARIOS (218),163.0
872606,21.0,28.0,7910,LA MALA VIDA,7755,2179,BLANCO,U5,1,CALZADO,5,DAMA,244,SANDALIA,83,VESTIR,1099.0,SAND MEDIA PLAT MED TALON C/P (1099),392.0
872928,21.0,28.0,4867,INSPIRACION,5706,5854,NEGRO/CREMA,U5,1,CALZADO,5,DAMA,490,BALLERINA,12,CASUAL,186.0,KIT BALLERINA PUNTAL (186),348.0
872927,21.0,28.0,5534,CALZADO ANDRICK,500L,23270,AVELLANA/MARINO,U5,1,CALZADO,5,DAMA,66,CHOCLO,12,CASUAL,1102.0,KIT CHOCLO (1102),519.0
872990,21.0,28.0,3540,KIUT 100%,4201,839,ROSA,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,1995.0,SAND SUELA URBANA PULSERA (1995),230.0
872995,21.0,28.0,3904,HOT,8209,2179,BLANCO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,301.0,SAND PLAT BAJO PULSERA (301),149.0
872996,21.0,28.0,3904,HOT,2589,23252,CAMEL/INOX,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,198.0,SAND KIT PISO PULSERA (198),121.0
872993,21.0,28.0,4480,KANDY LIVE,2709,825,ROJO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,1996.0,SAND TACON BAJO ANCHO ROMANO (1996),255.0
872994,21.0,28.0,3904,HOT,8207,2021,AMARILLO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,301.0,SAND PLAT BAJO PULSERA (301),57.0
872271,21.0,28.0,7771,MEI BANG,1842,501,GRIS,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),155.0
872273,21.0,28.0,7771,MEI BANG,1704,839,ROSA,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),530.0
872277,21.0,28.0,7771,MEI BANG,1011,839,ROSA,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),485.0
872274,21.0,28.0,7771,MEI BANG,1704,366,BEIGE,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),207.0
872272,21.0,28.0,7771,MEI BANG,1842,2534,MARINO,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),242.0
872276,21.0,28.0,7771,MEI BANG,1798,4970,NEGRO,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),190.0
872269,21.0,28.0,7771,MEI BANG,1796,501,GRIS,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),109.0
872270,21.0,28.0,7771,MEI BANG,1796,4970,NEGRO,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),187.0
872275,21.0,28.0,7771,MEI BANG,1798,839,ROSA,U5,1,CALZADO,5,DAMA,199,PANTUFLA,17,CONFORT,236.0,PANTUFLA (236),219.0
872427,21.0,28.0,61,TRIGUZ,1951,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,203.0,SAND CUÑA MEDIO TRABA T (203),283.0
872426,21.0,28.0,61,TRIGUZ,1953,4970,NEGRO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,229.0,SAND PLAT ALTO TALON C/PULS (229),48.0
872430,21.0,28.0,61,TRIGUZ,1954,10698,NUTTY,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,229.0,SAND PLAT ALTO TALON C/PULS (229),202.0
872429,21.0,28.0,61,TRIGUZ,1952,2135,MUSGO,U5,1,CALZADO,5,DAMA,244,SANDALIA,12,CASUAL,300.0,SAND CUÑA MEDIO PULSERA (300),193.0
178067,22.0,27.0,4949,TOPWINNER,2722,4970,NEGRO,SI,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,1679.0,ESCOTADO TACON BAJO (1679),3428.0
178070,22.0,27.0,4949,TOPWINNER,2723,382,CAFE,SI,1,CALZADO,5,DAMA,42,BOTA,127,MONTAR,1676.0,BL TACON BAJO (1676),3556.0
178071,22.0,27.0,4949,TOPWINNER,2723,4970,NEGRO,SI,1,CALZADO,5,DAMA,42,BOTA,127,MONTAR,1676.0,BL TACON BAJO (1676),3165.0
178078,22.0,27.0,4949,TOPWINNER,2728,4970,NEGRO,SI,1,CALZADO,5,DAMA,42,BOTA,129,TEXANO,1670.0,TEXANO TACON BAJO (1670),3622.0
