fecha,Ta23,Ta24,Ta25,Ta26,Ta27,,
21/02/2022 00:00,7,2,4,2,,,
22/02/2022 00:00,0,2,-1,2,,,
23/02/2022 00:00,2,2,2,0,,,
24/02/2022 00:00,0,0,0,0,,,
25/02/2022 00:00,2,2,0,0,,,
26/02/2022 00:00,5,4,4,1,,,
27/02/2022 00:00,1,0,1,-1,,,
28/02/2022 00:00,2,-1,1,1,,,
01/03/2022 00:00,0,1,3,-1,,,
02/03/2022 00:00,-1,6,8,0,,,
03/03/2022 00:00,0,6,0,1,,,
04/03/2022 00:00,0,-1,1,1,,,
05/03/2022 00:00,3,4,2,0,,,
06/03/2022 00:00,0,2,-1,0,,,
07/03/2022 00:00,1,7,0,0,,,
08/03/2022 00:00,2,1,2,-1,,,
09/03/2022 00:00,5,4,-3,0,,,
10/03/2022 00:00,6,4,0,1,,,
11/03/2022 00:00,2,3,1,0,,,
12/03/2022 00:00,1,1,4,0,,,
13/03/2022 00:00,2,3,0,0,,,
14/03/2022 00:00,2,-2,3,0,,,
15/03/2022 00:00,3,0,1,0,,,
16/03/2022 00:00,2,4,0,2,,,
17/03/2022 00:00,0,1,3,-1,,,
18/03/2022 00:00,2,1,2,2,,,
19/03/2022 00:00,3,1,1,0,,,
20/03/2022 00:00,4,0,0,0,,,
21/03/2022 00:00,1,4,3,4,,,
22/03/2022 00:00,8,7,2,2,,,
23/03/2022 00:00,3,2,1,1,,,
24/03/2022 00:00,0,3,0,0,,,
25/03/2022 00:00,2,3,4,1,,,
26/03/2022 00:00,4,3,0,1,,,
27/03/2022 00:00,0,0,1,1,,,
28/03/2022 00:00,-1,2,0,0,,,
29/03/2022 00:00,-1,1,0,0,,,
30/03/2022 00:00,0,0,-1,-1,,,
31/03/2022 00:00,1,1,0,0,,,
01/04/2022 00:00,2,4,2,0,,,
02/04/2022 00:00,0,0,4,1,,,
03/04/2022 00:00,0,1,2,0,,,
04/04/2022 00:00,3,3,0,3,,,
05/04/2022 00:00,1,3,0,2,,,
06/04/2022 00:00,0,1,2,0,,,
07/04/2022 00:00,4,3,2,0,,,
08/04/2022 00:00,-1,1,3,2,,,
09/04/2022 00:00,5,2,1,2,,,
10/04/2022 00:00,0,1,1,0,,,
11/04/2022 00:00,1,2,3,-1,,,
12/04/2022 00:00,2,0,0,0,,,
13/04/2022 00:00,0,4,2,1,,,
14/04/2022 00:00,2,0,4,0,,,
15/04/2022 00:00,0,0,0,0,,,
16/04/2022 00:00,0,2,0,0,,,
17/04/2022 00:00,0,0,0,0,,,
18/04/2022 00:00,1,1,0,-1,,,
19/04/2022 00:00,3,1,0,1,,,
20/04/2022 00:00,0,3,1,0,,,
21/04/2022 00:00,2,3,2,0,,,
22/04/2022 00:00,3,2,3,2,,,
23/04/2022 00:00,-1,2,1,2,,,
24/04/2022 00:00,1,2,0,0,,,
25/04/2022 00:00,1,0,1,1,,,
26/04/2022 00:00,2,-1,1,0,,,
27/04/2022 00:00,0,3,0,1,,,
28/04/2022 00:00,1,2,0,0,,,
29/04/2022 00:00,2,3,-1,0,,,
30/04/2022 00:00,3,0,1,0,,,
01/05/2022 00:00,1,2,2,0,,,
02/05/2022 00:00,1,1,-1,1,,,
03/05/2022 00:00,3,-1,0,0,,,
04/05/2022 00:00,3,1,1,-1,,,
05/05/2022 00:00,0,1,0,1,,,
06/05/2022 00:00,1,3,2,4,,,
07/05/2022 00:00,0,1,0,0,,,
08/05/2022 00:00,0,1,-1,0,,,
09/05/2022 00:00,1,3,2,2,,,
10/05/2022 00:00,0,1,0,1,,,
11/05/2022 00:00,1,1,2,0,,,
12/05/2022 00:00,2,2,0,0,,,
13/05/2022 00:00,2,3,2,1,,,
14/05/2022 00:00,0,1,0,0,,,
15/05/2022 00:00,3,3,1,2,,,
16/05/2022 00:00,3,3,2,1,,,
17/05/2022 00:00,1,-1,0,0,,,
18/05/2022 00:00,3,2,0,0,,,
19/05/2022 00:00,0,0,2,0,,,
20/05/2022 00:00,3,1,2,1,,,
21/05/2022 00:00,2,4,1,1,,,
22/05/2022 00:00,1,0,0,-1,,,
23/05/2022 00:00,3,1,-1,1,,,
24/05/2022 00:00,9,10,0,-1,,,
25/05/2022 00:00,2,0,0,0,,,
26/05/2022 00:00,6,1,0,0,,,
27/05/2022 00:00,2,4,-1,0,,,
28/05/2022 00:00,0,1,0,0,,,
29/05/2022 00:00,1,1,1,1,,,
30/05/2022 00:00,1,0,-1,1,,,
31/05/2022 00:00,1,1,0,0,,,
01/06/2022 00:00,-1,2,1,-1,,,
02/06/2022 00:00,0,3,2,0,,,
03/06/2022 00:00,2,0,1,1,,,
04/06/2022 00:00,0,2,-2,1,,,
05/06/2022 00:00,0,1,0,1,,,
06/06/2022 00:00,4,1,1,0,,,
07/06/2022 00:00,-2,1,7,0,,,
08/06/2022 00:00,4,1,3,0,,,
09/06/2022 00:00,0,0,0,0,,,
10/06/2022 00:00,2,5,1,2,,,
11/06/2022 00:00,2,3,-1,0,,,
12/06/2022 00:00,0,4,1,0,,,
13/06/2022 00:00,1,1,1,0,,,
14/06/2022 00:00,3,3,0,0,,,
15/06/2022 00:00,1,3,2,0,,,
16/06/2022 00:00,0,4,0,1,,,
17/06/2022 00:00,3,-1,0,0,,,
18/06/2022 00:00,6,4,2,3,,,
19/06/2022 00:00,0,2,2,0,,,
20/06/2022 00:00,0,2,0,1,,,
21/06/2022 00:00,1,0,1,1,,,
22/06/2022 00:00,2,1,1,0,,,
23/06/2022 00:00,0,1,-1,1,,,
24/06/2022 00:00,2,1,1,0,,,
25/06/2022 00:00,0,-1,1,0,,,
26/06/2022 00:00,1,0,1,1,,,
27/06/2022 00:00,1,1,3,0,,,
28/06/2022 00:00,0,2,0,0,,,
29/06/2022 00:00,2,2,2,1,,,
30/06/2022 00:00,0,0,-1,0,,,
01/07/2022 00:00,4,0,1,1,,,
02/07/2022 00:00,1,0,1,-1,,,
03/07/2022 00:00,2,2,1,0,,,
04/07/2022 00:00,1,-1,0,0,,,
05/07/2022 00:00,0,0,1,0,,,
06/07/2022 00:00,2,4,0,0,,,
07/07/2022 00:00,1,2,0,0,,,
08/07/2022 00:00,3,0,3,0,,,
09/07/2022 00:00,1,0,1,1,,,
10/07/2022 00:00,1,2,1,0,,,
11/07/2022 00:00,0,3,2,0,,,
12/07/2022 00:00,-1,0,1,0,,,
13/07/2022 00:00,3,1,0,0,,,
14/07/2022 00:00,3,1,1,2,,,
15/07/2022 00:00,2,0,1,0,,,
16/07/2022 00:00,0,-2,3,1,,,
17/07/2022 00:00,1,0,0,0,,,
18/07/2022 00:00,1,0,0,0,,,
19/07/2022 00:00,0,2,-1,2,,,
20/07/2022 00:00,-1,1,-1,0,,,
21/07/2022 00:00,-1,-1,0,3,,,
22/07/2022 00:00,5,2,3,3,,,
23/07/2022 00:00,2,2,-1,0,,,
24/07/2022 00:00,2,2,2,0,,,
25/07/2022 00:00,1,1,0,0,,,
26/07/2022 00:00,0,1,2,0,,,
27/07/2022 00:00,1,1,0,0,,,
28/07/2022 00:00,1,1,0,0,,,
29/07/2022 00:00,0,3,2,1,,,
30/07/2022 00:00,1,2,0,1,,,
31/07/2022 00:00,0,1,3,0,,,
01/08/2022 00:00,0,1,1,0,,,
02/08/2022 00:00,1,1,2,0,,,
03/08/2022 00:00,1,1,0,1,,,
04/08/2022 00:00,5,1,1,0,,,
05/08/2022 00:00,2,1,0,-1,,,
06/08/2022 00:00,0,0,1,0,,,
07/08/2022 00:00,0,0,0,0,,,
08/08/2022 00:00,2,1,0,0,,,
09/08/2022 00:00,2,0,1,0,,,
10/08/2022 00:00,5,1,1,1,,,
11/08/2022 00:00,2,4,0,-1,,,
12/08/2022 00:00,3,3,0,0,,,
13/08/2022 00:00,0,0,1,0,,,
14/08/2022 00:00,2,2,1,0,,,
15/08/2022 00:00,1,1,1,0,,,
16/08/2022 00:00,1,1,1,0,,,
17/08/2022 00:00,1,0,2,0,,,
18/08/2022 00:00,0,2,-1,1,,,
19/08/2022 00:00,6,4,4,0,,,
20/08/2022 00:00,0,1,6,3,,,
21/08/2022 00:00,1,1,0,1,,,
22/08/2022 00:00,2,3,0,0,,,
23/08/2022 00:00,1,0,0,0,,,
24/08/2022 00:00,2,0,-2,2,,,
25/08/2022 00:00,4,0,0,1,,,
26/08/2022 00:00,1,1,0,-1,,,
27/08/2022 00:00,17,13,2,0,,,
28/08/2022 00:00,0,4,5,0,,,
29/08/2022 00:00,4,4,1,2,,,
30/08/2022 00:00,0,3,0,0,,,
31/08/2022 00:00,2,3,1,0,,,
01/09/2022 00:00,2,3,0,0,,,
02/09/2022 00:00,0,1,2,0,,,
03/09/2022 00:00,0,4,1,3,,,
04/09/2022 00:00,2,2,1,1,,,
05/09/2022 00:00,3,2,0,0,,,
06/09/2022 00:00,0,2,1,0,,,
07/09/2022 00:00,0,2,0,0,,,
08/09/2022 00:00,0,-1,1,0,,,
09/09/2022 00:00,3,3,0,0,,,
10/09/2022 00:00,0,0,0,2,,,
11/09/2022 00:00,0,0,3,0,,,
12/09/2022 00:00,0,1,1,1,,,
13/09/2022 00:00,0,2,1,1,,,
14/09/2022 00:00,0,2,0,0,,,
15/09/2022 00:00,0,1,1,0,,,
16/09/2022 00:00,0,0,0,0,,,
17/09/2022 00:00,0,0,2,0,,,
18/09/2022 00:00,1,1,-1,0,,,
19/09/2022 00:00,3,1,1,0,,,
20/09/2022 00:00,1,0,0,0,,,
21/09/2022 00:00,0,1,0,0,,,
22/09/2022 00:00,1,-1,0,0,,,
23/09/2022 00:00,4,1,0,0,,,
24/09/2022 00:00,1,1,0,3,,,
25/09/2022 00:00,0,0,1,0,,,
26/09/2022 00:00,1,0,0,0,,,
27/09/2022 00:00,0,0,0,0,,,
28/09/2022 00:00,0,2,0,0,,,
